Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType
20142015,Sacred Heart,1,@,RIT,5,,,11/21/2014,AH
20142015,Michigan State,0,@,Ohio State,3,,,11/21/2014,B10
20142015,Penn State,3,@,Michigan,2,,,11/21/2014,B10
20142015,(14) Quinnipiac,1,@,Clarkson,2,,,11/21/2014,EC
20142015,Brown,3,@,(6) Colgate,4,OT,,11/21/2014,EC
20142015,Yale,2,@,Cornell,3,,,11/21/2014,EC
20142015,Princeton,0,@,St. Lawrence,3,,,11/21/2014,EC
20142015,Maine,2,@,(3) Boston University,3,OT,,11/21/2014,HE
20142015,Northeastern,2,@,Merrimack,4,,,11/21/2014,HE
20142015,(5) Massachusetts-Lowell,2,@,Notre Dame,2,OT,,11/21/2014,HE
20142015,(11) Vermont,1,@,Connecticut,2,,,11/21/2014,HE
20142015,(12) Boston College,5,@,Massachusetts,3,,,11/21/2014,HE
20142015,Western Michigan,0,@,(7) Miami,1,,,11/21/2014,NT
20142015,(2) North Dakota,1,@,(16) St. Cloud State,3,,,11/21/2014,NT
20142015,(8) Minnesota-Duluth,3,@,(13) Nebraska-Omaha,2,,,11/21/2014,NT
20142015,Bemidji State,1,@,(18) Bowling Green,3,,,11/21/2014,WC
20142015,Alabama-Huntsville,3,@,Ferris State,2,,,11/21/2014,WC
20142015,Alaska,7,@,Lake Superior,5,,,11/21/2014,WC
