"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
891,"20162017","Robert Morris",4,"Atlantic Hockey","Away","Loss","Mercyhurst",7,"Atlantic Hockey"
892,"20162017","Niagara",2,"Atlantic Hockey","Home","Loss","Canisius",5,"Atlantic Hockey"
892,"20162017","Canisius",5,"Atlantic Hockey","Away","Win","Niagara",2,"Atlantic Hockey"
893,"20162017","RIT",2,"Atlantic Hockey","Home","Loss","Air Force",4,"Atlantic Hockey"
893,"20162017","Air Force",4,"Atlantic Hockey","Away","Win","RIT",2,"Atlantic Hockey"
894,"20162017","Michigan State",2,"Big Ten","Home","Loss","Ohio State",3,"Big Ten"
894,"20162017","Ohio State",3,"Big Ten","Away","Win","Michigan State",2,"Big Ten"
895,"20162017","Penn State",3,"Big Ten","Home","Loss","Minnesota",6,"Big Ten"
895,"20162017","Minnesota",6,"Big Ten","Away","Win","Penn State",3,"Big Ten"
896,"20162017","Wisconsin",5,"Big Ten","Home","Win","Michigan",2,"Big Ten"
896,"20162017","Michigan",2,"Big Ten","Away","Loss","Wisconsin",5,"Big Ten"
897,"20162017","Brown",4,"ECAC","Home","Loss","Dartmouth",5,"ECAC"
897,"20162017","Dartmouth",5,"ECAC","Away","Win","Brown",4,"ECAC"
898,"20162017","Clarkson",3,"ECAC","Home","Win","Colgate",0,"ECAC"
898,"20162017","Colgate",0,"ECAC","Away","Loss","Clarkson",3,"ECAC"
899,"20162017","Rensselaer",4,"ECAC","Home","Win","Princeton",3,"ECAC"
899,"20162017","Princeton",3,"ECAC","Away","Loss","Rensselaer",4,"ECAC"
900,"20162017","St. Lawrence",2,"ECAC","Home","Loss","Cornell",4,"ECAC"
900,"20162017","Cornell",4,"ECAC","Away","Win","St. Lawrence",2,"ECAC"
901,"20162017","Union",4,"ECAC","Home","Win","Quinnipiac",1,"ECAC"
901,"20162017","Quinnipiac",1,"ECAC","Away","Loss","Union",4,"ECAC"
902,"20162017","Yale",2,"ECAC","Home","Loss","Harvard",4,"ECAC"
902,"20162017","Harvard",4,"ECAC","Away","Win","Yale",2,"ECAC"
903,"20162017","Boston College",3,"Hockey East","Home","Tie","Vermont",3,"Hockey East"
903,"20162017","Vermont",3,"Hockey East","Away","Tie","Boston College",3,"Hockey East"
904,"20162017","Boston University",4,"Hockey East","Home","Tie","New Hampshire",4,"Hockey East"
904,"20162017","New Hampshire",4,"Hockey East","Away","Tie","Boston University",4,"Hockey East"
905,"20162017","Merrimack",4,"Hockey East","Home","Win","Maine",3,"Hockey East"
905,"20162017","Maine",3,"Hockey East","Away","Loss","Merrimack",4,"Hockey East"
906,"20162017","Notre Dame",4,"Hockey East","Home","Win","Providence",1,"Hockey East"
906,"20162017","Providence",1,"Hockey East","Away","Loss","Notre Dame",4,"Hockey East"
907,"20162017","Connecticut",0,"Hockey East","Home","Loss","Northeastern",3,"Hockey East"
907,"20162017","Northeastern",3,"Hockey East","Away","Win","Connecticut",0,"Hockey East"
