## HomeTeam: the team playing at home;
## AwayTeam: the opponent visiting team;
## ScoreHome: the score of the home team;
## ScoreAway: the score of the visiting team;
## Date: the day in which the match was played.
HomeTeam	AwayTeam	ScoreHome	ScoreAway	Date
Cleveland 	 NewYork	113	106	2010-02-07
Charlotte 	 NewOrleans	99	104	2010-02-07
L.A.Lakers 	 Denver	113	126	2010-02-06
Sacramento 	 Phoenix 	102	114	2010-02-06
Dallas 	 Minnesota	108	117	2010-02-06
NewOrleans 	 Philadelphia	94	101	2010-02-06
Memphis 	 Houston	83	101	2010-02-06
Atlanta 	 Chicago	91	81	2010-02-06
Boston 	 NewJersey	96	87	2010-02-06
NewYork 	 Milwaukee	107	114	2010-02-06
Orlando 	 Washington	91	92	2010-02-06
Indiana 	 Detroit	107	83	2010-02-06
Portland 	 SanAntonio	96	93	2010-02-05
Cleveland 	 Miami	102	86	2010-02-05
L.A.Lakers 	 Charlotte	99	97	2010-02-04
Denver 	 Phoenix 	97	109	2010-02-04
Sacramento 	 SanAntonio	113	115	2010-02-04
Utah 	 Portland	118	105	2010-02-04
Dallas 	 GoldenState	110	101	2010-02-04
NewOrleans 	 Oklahoma	99	103	2010-02-04
Boston 	 Miami	107	102	2010-02-04
NewYork 	 Washington	107	85	2010-02-04
Philadelphia 	 Chicago	106	103	2010-02-04
Atlanta 	 L.A.Clippers 	103	97	2010-02-04
Toronto 	 NewJersey	108	99	2010-02-04
Houston 	 GoldenState	119	97	2010-02-03
Oklahoma 	 Atlanta	106	99	2010-02-03
Chicago 	 L.A.Clippers 	82	90	2010-02-03
NewJersey 	 Detroit	93	97	2010-02-03
Orlando 	 Milwaukee	99	82	2010-02-03
Indiana 	 Toronto	130	115	2010-02-03
Cleveland 	 Memphis	105	89	2010-02-03
Portland 	 Charlotte	98	79	2010-02-02
Utah 	 Dallas	104	92	2010-02-02
Denver 	 Sacramento	112	109	2010-02-02
NewOrleans 	 Phoenix 	100	109	2010-02-02
Memphis 	 L.A.Lakers 	95	93	2010-02-02
Miami 	 Milwaukee	81	97	2010-02-02
Washington 	 Boston	88	99	2010-02-02
Houston 	 Phoenix 	111	115	2010-02-01
Oklahoma 	 GoldenState	112	104	2010-02-01
Minnesota 	 NewYork	112	91	2010-02-01
Toronto 	 Indiana	117	102	2010-02-01
NewJersey 	 Philadelphia	79	83	2010-02-01
Detroit 	 Orlando	86	91	2010-02-01
Cleveland 	 L.A.Clippers 	114	89	2010-02-01
Boston 	 L.A.Lakers 	89	90	2010-01-31
SanAntonio 	 Denver	89	103	2010-01-31
