Game,Season,Team,Win,Goals,Status,Opponent,OpponentGoals
186,20172018,Arizona State,Tie,1,Away,Colgate,1
187,20172018,Cornell,Win,3,Home,Alabama-Huntsville,0
187,20172018,Alabama-Huntsville,Loss,0,Away,Cornell,3
188,20172018,Maine,Loss,0,Home,Minnesota-Duluth,2
188,20172018,Minnesota-Duluth,Win,2,Away,Maine,0
189,20172018,Michigan State,Win,6,Home,Lake Superior,0
189,20172018,Lake Superior,Loss,0,Away,Michigan State,6
190,20172018,Miami,Win,7,Home,Connecticut,1
190,20172018,Connecticut,Loss,1,Away,Miami,7
191,20172018,Robert Morris,Loss,1,Home,Ohio State,3
191,20172018,Ohio State,Win,3,Away,Robert Morris,1
192,20172018,Minnesota,Win,2,Home,Clarkson,1
192,20172018,Clarkson,Loss,1,Away,Minnesota,2
193,20172018,Wisconsin,Loss,3,Home,St. Lawrence,6
193,20172018,St. Lawrence,Win,6,Away,Wisconsin,3
194,20172018,Harvard,Win,5,Home,Dartmouth,0
194,20172018,Dartmouth,Loss,0,Away,Harvard,5
195,20172018,Princeton,Win,4,Home,Holy Cross,2
195,20172018,Holy Cross,Loss,2,Away,Princeton,4
196,20172018,Michigan,Win,7,Home,Ferris State,2
196,20172018,Ferris State,Loss,2,Away,Michigan,7
197,20172018,Air Force,Loss,2,Home,Army,3
197,20172018,Army,Win,3,Away,Air Force,2
198,20172018,Niagara,Tie,3,Home,Bentley,3
198,20172018,Bentley,Tie,3,Away,Niagara,3
199,20172018,RIT,Win,5,Home,American International,3
199,20172018,American International,Loss,3,Away,RIT,5
200,20172018,Robert Morris,Tie,5,Home,Holy Cross,5
200,20172018,Holy Cross,Tie,5,Away,Robert Morris,5
201,20172018,Ohio State,Loss,1,Home,Notre Dame,4
201,20172018,Notre Dame,Win,4,Away,Ohio State,1
202,20172018,Minnesota,Win,3,Home,Michigan State,1
202,20172018,Michigan State,Loss,1,Away,Minnesota,3
203,20172018,Clarkson,Win,6,Home,Rensselaer,0
203,20172018,Rensselaer,Loss,0,Away,Clarkson,6
204,20172018,Dartmouth,Win,4,Home,Brown,3
204,20172018,Brown,Loss,3,Away,Dartmouth,4
205,20172018,Harvard,Loss,2,Home,Yale,5
205,20172018,Yale,Win,5,Away,Harvard,2
206,20172018,Princeton,Tie,0,Home,Colgate,0
206,20172018,Colgate,Tie,0,Away,Princeton,0
207,20172018,Quinnipiac,Loss,1,Home,Cornell,2
207,20172018,Cornell,Win,2,Away,Quinnipiac,1
208,20172018,St. Lawrence,Loss,1,Home,Union,3
208,20172018,Union,Win,3,Away,St. Lawrence,1
209,20172018,Boston College,Win,3,Home,Merrimack,1
209,20172018,Merrimack,Loss,1,Away,Boston College,3
210,20172018,Boston University,Win,2,Home,Providence,0
210,20172018,Providence,Loss,0,Away,Boston University,2
211,20172018,Connecticut,Win,5,Home,Vermont,1
211,20172018,Vermont,Loss,1,Away,Connecticut,5
212,20172018,Massachusetts-Lowell,Win,3,Home,Maine,2
212,20172018,Maine,Loss,2,Away,Massachusetts-Lowell,3
213,20172018,Miami,Win,3,Home,Colorado College,2
213,20172018,Colorado College,Loss,2,Away,Miami,3
214,20172018,St. Cloud State,Win,5,Home,Minnesota-Duluth,3
214,20172018,Minnesota-Duluth,Loss,3,Away,St. Cloud State,5
215,20172018,Western Michigan,Win,6,Home,Denver,5
215,20172018,Denver,Loss,5,Away,Western Michigan,6
216,20172018,Lake Superior,Win,3,Home,Alaska-Anchorage,2
216,20172018,Alaska-Anchorage,Loss,2,Away,Lake Superior,3
217,20172018,Michigan Tech,Loss,1,Home,Bowling Green,2
217,20172018,Bowling Green,Win,2,Away,Michigan Tech,1
218,20172018,Northern Michigan,Loss,0,Home,Minnesota State,3
218,20172018,Minnesota State,Win,3,Away,Northern Michigan,0
219,20172018,Alaska,Win,4,Home,Bemidji State,3
219,20172018,Bemidji State,Loss,3,Away,Alaska,4
