"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
20162017,"Ferris State",2,"@","Minnesota State",4,"","","2016-10-28","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Northern Michigan",0,"@","Michigan Tech",2,"","","2016-10-28","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Harvard",7,"@","Arizona State",0,"","","2016-10-28","NC","Loss","Win","No","No","No","Independent","ECAC"
20162017,"Minnesota",4,"@","Clarkson",3,"OT","","2016-10-28","NC","Loss","Win","No","No","No","ECAC","Big Ten"
20162017,"Maine",2,"@","Colgate",2,"OT","","2016-10-28","NC","Tie","Tie","No","No","No","ECAC","Hockey East"
20162017,"Brown",0,"@","Holy Cross",3,"","","2016-10-28","NC","Win","Loss","No","No","No","Atlantic Hockey","ECAC"
20162017,"Cornell",2,"@","Merrimack",3,"","","2016-10-28","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"Princeton",2,"@","Michigan State",6,"","","2016-10-28","NC","Win","Loss","No","No","No","Big Ten","ECAC"
20162017,"Bowling Green",1,"@","Miami",2,"OT","","2016-10-28","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Ohio State",10,"@","Niagara",2,"","","2016-10-28","NC","Loss","Win","No","No","No","Atlantic Hockey","Big Ten"
20162017,"Canisius",1,"@","Penn State",4,"","","2016-10-28","NC","Win","Loss","No","No","No","Big Ten","Atlantic Hockey"
20162017,"Alabama-Huntsville",1,"@","St. Cloud State",5,"","","2016-10-28","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Wisconsin",5,"@","St. Lawrence",2,"","","2016-10-28","NC","Loss","Win","No","No","No","ECAC","Big Ten"
20162017,"Massachusetts-Lowell",1,"@","Nebraska-Omaha",5,"","","2016-10-28","NC","Win","Loss","No","No","No","NCHC","Hockey East"
20162017,"Michigan",0,"@","Vermont",3,"","","2016-10-28","NC","Win","Loss","No","No","No","Hockey East","Big Ten"
20162017,"RIT",6,"@","Bentley",3,"","","2016-10-29","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"American International",3,"@","Mercyhurst",6,"","","2016-10-29","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Army",2,"@","Robert Morris",1,"","","2016-10-29","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Rensselaer",2,"@","Union",3,"OT","","2016-10-29","EC","Win","Loss","No","No","No","ECAC","ECAC"
20162017,"Boston College",7,"@","Massachusetts",4,"","","2016-10-29","HE","Loss","Win","No","No","No","Hockey East","Hockey East"
20162017,"Merrimack",2,"@","New Hampshire",6,"","","2016-10-29","HE","Win","Loss","No","No","No","Hockey East","Hockey East"
20162017,"Western Michigan",2,"@","Denver",4,"","","2016-10-29","NT","Win","Loss","No","No","No","NCHC","NCHC"
20162017,"North Dakota",0,"@","Minnesota-Duluth",3,"","","2016-10-29","NT","Win","Loss","No","No","No","NCHC","NCHC"
20162017,"Alaska-Anchorage",0,"@","Bemidji State",4,"","","2016-10-29","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Alaska",4,"@","Lake Superior",3,"OT","","2016-10-29","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Ferris State",4,"@","Minnesota State",3,"","","2016-10-29","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Michigan Tech",5,"@","Northern Michigan",1,"","","2016-10-29","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Harvard",6,"@","Arizona State",2,"","","2016-10-29","NC","Loss","Win","No","No","No","Independent","ECAC"
20162017,"Wisconsin",5,"@","Clarkson",4,"","","2016-10-29","NC","Loss","Win","No","No","No","ECAC","Big Ten"
20162017,"Maine",3,"@","Colgate",5,"","","2016-10-29","NC","Win","Loss","No","No","No","ECAC","Hockey East"
20162017,"Michigan",2,"@","Dartmouth",3,"","","2016-10-29","NC","Win","Loss","No","No","No","ECAC","Big Ten"
20162017,"Bowling Green",4,"@","Miami",1,"","","2016-10-29","NC","Loss","Win","No","No","No","NCHC","WCHA"
20162017,"Ohio State",6,"@","Niagara",2,"","","2016-10-29","NC","Loss","Win","No","No","No","Atlantic Hockey","Big Ten"
20162017,"Canisius",2,"@","Penn State",4,"","","2016-10-29","NC","Win","Loss","No","No","No","Big Ten","Atlantic Hockey"
20162017,"Alabama-Huntsville",2,"@","St. Cloud State",5,"","","2016-10-29","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Minnesota",2,"@","St. Lawrence",2,"OT","","2016-10-29","NC","Tie","Tie","No","No","No","ECAC","Big Ten"
20162017,"Massachusetts-Lowell",4,"@","Nebraska-Omaha",2,"","","2016-10-29","NC","Loss","Win","No","No","No","NCHC","Hockey East"
20162017,"Sacred Heart",1,"@","Yale",4,"","","2016-10-29","NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20162017,"Vermont",3,"@","Northeastern",2,"","","2016-10-30","HE","Loss","Win","No","No","No","Hockey East","Hockey East"
20162017,"Providence",6,"@","Brown",0,"","Mayor's Cup","2016-10-30","NC","Loss","Win","Yes","No","No","ECAC","Hockey East"
20162017,"Union",4,"@","Holy Cross",6,"","","2016-11-01","NC","Win","Loss","No","No","No","Atlantic Hockey","ECAC"
20162017,"Holy Cross",2,"@","American International",4,"","","2016-11-03","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Niagara",1,"@","Penn State",5,"","","2016-11-03","NC","Win","Loss","No","No","No","Big Ten","Atlantic Hockey"
20162017,"Air Force",2,"@","Army",4,"","","2016-11-04","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"RIT",0,"@","Canisius",1,"","","2016-11-04","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"American International",4,"@","Holy Cross",4,"OT","","2016-11-04","AH","Tie","Tie","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Quinnipiac",5,"@","Clarkson",3,"","","2016-11-04","EC","Loss","Win","No","No","No","ECAC","ECAC"
20162017,"Cornell",1,"@","Dartmouth",1,"OT","","2016-11-04","EC","Tie","Tie","No","No","No","ECAC","ECAC"
20162017,"Colgate",1,"@","Harvard",1,"OT","","2016-11-04","EC","Tie","Tie","No","No","No","ECAC","ECAC"
20162017,"Brown",1,"@","Rensselaer",3,"","","2016-11-04","EC","Win","Loss","No","No","No","ECAC","ECAC"
20162017,"Princeton",0,"@","St. Lawrence",4,"","","2016-11-04","EC","Win","Loss","No","No","No","ECAC","ECAC"
20162017,"Yale",3,"@","Union",5,"","","2016-11-04","EC","Win","Loss","No","No","No","ECAC","ECAC"
20162017,"Boston College",6,"@","Maine",1,"","","2016-11-04","HE","Loss","Win","No","No","No","Hockey East","Hockey East"
