Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season
29,Alec McCrea,JR,D,"El Cajon, California",Cornell,el cajon california,"Cornell: 29 Alec McCrea - El Cajon, California (JR-D)",20172018
31,Hayden Stewart,SR,G,"Rockford, Illinois",Cornell,rockford illinois,"Cornell: 31 Hayden Stewart - Rockford, Illinois (SR-G)",20172018
32,Austin McGrath,FR,G,"Lloydminster, Alberta",Cornell,lloydminster alberta,"Cornell: 32 Austin McGrath - Lloydminster, Alberta (FR-G)",20172018
35,Matthew Galajda,FR,G,"Aurora, Ontario",Cornell,aurora ontario,"Cornell: 35 Matthew Galajda - Aurora, Ontario (FR-G)",20172018
2,River Rymsha,SR,D,"Huntington Woods, Michigan",Dartmouth,huntington woods michigan,"Dartmouth: 02 River Rymsha - Huntington Woods, Michigan (SR-D)",20172018
3,Joey Matthews,FR,D,"Columbia, Illinois",Dartmouth,columbia illinois,"Dartmouth: 03 Joey Matthews - Columbia, Illinois (FR-D)",20172018
4,Ben DiMaio,SO,D,"Pembroke, Massachusetts",Dartmouth,pembroke massachusetts,"Dartmouth: 04 Ben DiMaio - Pembroke, Massachusetts (SO-D)",20172018
5,Tim Shoup,SR,D,"Upper Saint Clair, Pennsylvania",Dartmouth,upper saint clair pennsylvania,"Dartmouth: 05 Tim Shoup - Upper Saint Clair, Pennsylvania (SR-D)",20172018
6,Connor Yau,JR,D,"Algonquin, Illinois",Dartmouth,algonquin illinois,"Dartmouth: 06 Connor Yau - Algonquin, Illinois (JR-D)",20172018
7,Cameron Roth,JR,D,"Nepean, Ontario",Dartmouth,nepean ontario,"Dartmouth: 07 Cameron Roth - Nepean, Ontario (JR-D)",20172018
8,Daniel Warpecha,SO,F,"Willow Springs, Illinois",Dartmouth,willow springs illinois,"Dartmouth: 08 Daniel Warpecha - Willow Springs, Illinois (SO-F)",20172018
9,Collin Rutherford,FR,F,"Tonawanda, New York",Dartmouth,tonawanda new york,"Dartmouth: 09 Collin Rutherford - Tonawanda, New York (FR-F)",20172018
10,Shane Sellar,SO,F,"Carlisle, Pennsylvania",Dartmouth,carlisle pennsylvania,"Dartmouth: 10 Shane Sellar - Carlisle, Pennsylvania (SO-F)",20172018
11,Alex Jasiek,JR,F,"St. Louis, Missouri",Dartmouth,st louis missouri,"Dartmouth: 11 Alex Jasiek - St. Louis, Missouri (JR-F)",20172018
12,Cam Strong,SO,F,"Billings, Montana",Dartmouth,billings montana,"Dartmouth: 12 Cam Strong - Billings, Montana (SO-F)",20172018
14,Matt Baker,FR,F,"Midhurst, Ontario",Dartmouth,midhurst ontario,"Dartmouth: 14 Matt Baker - Midhurst, Ontario (FR-F)",20172018
15,Charley Michalowski,SO,F,"West Roxbury, Massachusetts",Dartmouth,west roxbury massachusetts,"Dartmouth: 15 Charley Michalowski - West Roxbury, Massachusetts (SO-F)",20172018
16,Kevan Kilistoff,JR,F,"Langley, British Columbia",Dartmouth,langley british columbia,"Dartmouth: 16 Kevan Kilistoff - Langley, British Columbia (JR-F)",20172018
17,Quin Foreman,FR,F,"Needham, Massachusetts",Dartmouth,needham massachusetts,"Dartmouth: 17 Quin Foreman - Needham, Massachusetts (FR-F)",20172018
18,Corey Kalk,SR,F,"Thornhill, Ontario",Dartmouth,thornhill ontario,"Dartmouth: 18 Corey Kalk - Thornhill, Ontario (SR-F)",20172018
19,John Ernsting,JR,F,"Naperville, Illinois",Dartmouth,naperville illinois,"Dartmouth: 19 John Ernsting - Naperville, Illinois (JR-F)",20172018
20,Carl Hesler,SR,F,"Boxborough, Massachusetts",Dartmouth,boxborough massachusetts,"Dartmouth: 20 Carl Hesler - Boxborough, Massachusetts (SR-F)",20172018
22,Jamie McLaughlin,SO,F,"Toronto, Ontario",Dartmouth,toronto ontario,"Dartmouth: 22 Jamie McLaughlin - Toronto, Ontario (SO-F)",20172018
23,Clay Han,SO,D,"Liberty Township, Ohio",Dartmouth,liberty township ohio,"Dartmouth: 23 Clay Han - Liberty Township, Ohio (SO-D)",20172018
24,Brendan Less,FR,D,"Kinnelon, New Jersey",Dartmouth,kinnelon new jersey,"Dartmouth: 24 Brendan Less - Kinnelon, New Jersey (FR-D)",20172018
25,Ryan Blankemeier,SO,F,"Oak Park, Illinois",Dartmouth,oak park illinois,"Dartmouth: 25 Ryan Blankemeier - Oak Park, Illinois (SO-F)",20172018
27,Brendan Demler,FR,D,"Lebanon, Ohio",Dartmouth,lebanon ohio,"Dartmouth: 27 Brendan Demler - Lebanon, Ohio (FR-D)",20172018
28,Will Graber,SO,F,"Longmont, Colorado",Dartmouth,longmont colorado,"Dartmouth: 28 Will Graber - Longmont, Colorado (SO-F)",20172018
30,Dean Shatzer,SO,G,"Castle Rock, Colorado",Dartmouth,castle rock colorado,"Dartmouth: 30 Dean Shatzer - Castle Rock, Colorado (SO-G)",20172018
33,Devin Buffalo,SR,G,"Wetaskiwin, Alberta",Dartmouth,wetaskiwin alberta,"Dartmouth: 33 Devin Buffalo - Wetaskiwin, Alberta (SR-G)",20172018
35,Adrian Clark,SO,G,"Toronto, Ontario",Dartmouth,toronto ontario,"Dartmouth: 35 Adrian Clark - Toronto, Ontario (SO-G)",20172018
2,Erich Fear,SO,D,"Winnetka, Illinois",Denver,winnetka illinois,"Denver: 02 Erich Fear - Winnetka, Illinois (SO-D)",20172018
3,Tariq Hammond,SR,D,"Calgary, Alberta",Denver,calgary alberta,"Denver: 03 Tariq Hammond - Calgary, Alberta (SR-D)",20172018
4,Griffin Mendel,FR,D,"Kelowna, B.C., British Columbia",Denver,kelowna bc british columbia,"Denver: 04 Griffin Mendel - Kelowna, B.C., British Columbia (FR-D)",20172018
5,Henrik Borgstrom,SO,F,"Helsinki, Finland",Denver,helsinki finland,"Denver: 05 Henrik Borgstrom - Helsinki, Finland (SO-F)",20172018
6,Ryan Orgel,FR,D,"Los Angeles, California",Denver,los angeles california,"Denver: 06 Ryan Orgel - Los Angeles, California (FR-D)",20172018
7,Dylan Gambrell,JR,F,"Bonney Lake, Washington",Denver,bonney lake washington,"Denver: 07 Dylan Gambrell - Bonney Lake, Washington (JR-F)",20172018
8,Jared Resseguie,FR,F,"Arvada, Colorado",Denver,arvada colorado,"Denver: 08 Jared Resseguie - Arvada, Colorado (FR-F)",20172018
9,Tyson McLellan,SO,F,"San Jose, California",Denver,san jose california,"Denver: 09 Tyson McLellan - San Jose, California (SO-F)",20172018
10,Jaakko Heikkinen,FR,F,"Helsinki, Finland",Denver,helsinki finland,"Denver: 10 Jaakko Heikkinen - Helsinki, Finland (FR-F)",20172018
12,Kohen Olischefski,FR,F,"Abbotsford, British Columbia",Denver,abbotsford british columbia,"Denver: 12 Kohen Olischefski - Abbotsford, British Columbia (FR-F)",20172018
13,Liam Finlay,SO,F,"Kelowna, British Columbia",Denver,kelowna british columbia,"Denver: 13 Liam Finlay - Kelowna, British Columbia (SO-F)",20172018
14,Jarid Lukosevicius,JR,F,"Squamish, British Columbia",Denver,squamish british columbia,"Denver: 14 Jarid Lukosevicius - Squamish, British Columbia (JR-F)",20172018
15,Ian Mitchell,FR,D,"Calahoo, Alberta",Denver,calahoo alberta,"Denver: 15 Ian Mitchell - Calahoo, Alberta (FR-D)",20172018
16,Jake Durflinger,FR,F,"Walnut Creek, California",Denver,walnut creek california,"Denver: 16 Jake Durflinger - Walnut Creek, California (FR-F)",20172018
17,Rudy Junda,SR,F,"Denver, Colorado",Denver,denver colorado,"Denver: 17 Rudy Junda - Denver, Colorado (SR-F)",20172018
18,Ryan Barrow,FR,F,"Banff, Alberta",Denver,banff alberta,"Denver: 18 Ryan Barrow - Banff, Alberta (FR-F)",20172018
19,Troy Terry,JR,F,"Denver, Colorado",Denver,denver colorado,"Denver: 19 Troy Terry - Denver, Colorado (JR-F)",20172018
21,Michael Davies,SO,D,"St. Louis, Missouri",Denver,st louis missouri,"Denver: 21 Michael Davies - St. Louis, Missouri (SO-D)",20172018
22,Logan O'Connor,JR,F,"Calgary, Alberta",Denver,calgary alberta,"Denver: 22 Logan O'Connor - Calgary, Alberta (JR-F)",20172018
24,Colin Staub,JR,F,"Colorado Springs, Colorado",Denver,colorado springs colorado,"Denver: 24 Colin Staub - Colorado Springs, Colorado (JR-F)",20172018
25,Blake Hillman,JR,D,"Elk River, Minnesota",Denver,elk river minnesota,"Denver: 25 Blake Hillman - Elk River, Minnesota (JR-D)",20172018
26,Jack Doremus,FR,F,"Aspen, Colorado",Denver,aspen colorado,"Denver: 26 Jack Doremus - Aspen, Colorado (FR-F)",20172018
27,Sean Mostrom,JR,D,"Wayzata, Minnesota",Denver,wayzata minnesota,"Denver: 27 Sean Mostrom - Wayzata, Minnesota (JR-D)",20172018
28,Adam Plant,SR,D,"Penticton, British Columbia",Denver,penticton british columbia,"Denver: 28 Adam Plant - Penticton, British Columbia (SR-D)",20172018
30,Devin Cooley,FR,G,"Los Gatos, California",Denver,los gatos california,"Denver: 30 Devin Cooley - Los Gatos, California (FR-G)",20172018
31,Dayton Rasmussen,FR,G,"Eden Prairie, Minnesota",Denver,eden prairie minnesota,"Denver: 31 Dayton Rasmussen - Eden Prairie, Minnesota (FR-G)",20172018
36,Tanner Jaillet,SR,G,"Red Deer, Alberta",Denver,red deer alberta,"Denver: 36 Tanner Jaillet - Red Deer, Alberta (SR-G)",20172018
1,Darren Smith,JR,G,"Barrie, Ontario",Ferris State,barrie ontario,"Ferris State: 01 Darren Smith - Barrie, Ontario (JR-G)",20172018
2,Taylor Fernandez,SO,F,"Northville, Michigan",Ferris State,northville michigan,"Ferris State: 02 Taylor Fernandez - Northville, Michigan (SO-F)",20172018
3,Cameron Clarke,SO,D,"Tecumseh, Michigan",Ferris State,tecumseh michigan,"Ferris State: 03 Cameron Clarke - Tecumseh, Michigan (SO-D)",20172018
4,Zach Yoder,SO,D,"Woodstock, Georgia",Ferris State,woodstock georgia,"Ferris State: 04 Zach Yoder - Woodstock, Georgia (SO-D)",20172018
5,Tyler Dorantes,SR,D,"Waterford, Michigan",Ferris State,waterford michigan,"Ferris State: 05 Tyler Dorantes - Waterford, Michigan (SR-D)",20172018
6,Jasen Fernsler,SO,F,"Charlotte, Michigan",Ferris State,charlotte michigan,"Ferris State: 06 Jasen Fernsler - Charlotte, Michigan (SO-F)",20172018
7,Ryker Killins,JR,D,"Wawa, Ontario",Ferris State,wawa ontario,"Ferris State: 07 Ryker Killins - Wawa, Ontario (JR-D)",20172018
8,Andrew Dorantes,SR,F,"Waterford, Michigan",Ferris State,waterford michigan,"Ferris State: 08 Andrew Dorantes - Waterford, Michigan (SR-F)",20172018
9,Lucas Finner,FR,F,"Elmhurst, Illinois",Ferris State,elmhurst illinois,"Ferris State: 09 Lucas Finner - Elmhurst, Illinois (FR-F)",20172018
10,Coale Norris,FR,F,"Oxford, Michigan",Ferris State,oxford michigan,"Ferris State: 10 Coale Norris - Oxford, Michigan (FR-F)",20172018
11,Dominic Lutz,SO,F,"Livonia, Michigan",Ferris State,livonia michigan,"Ferris State: 11 Dominic Lutz - Livonia, Michigan (SO-F)",20172018
12,Trevor Recktenwald,JR,F,"Venetia, Pennsylvania",Ferris State,venetia pennsylvania,"Ferris State: 12 Trevor Recktenwald - Venetia, Pennsylvania (JR-F)",20172018
15,Mitch Maloney,SR,F,"Macomb, Michigan",Ferris State,macomb michigan,"Ferris State: 15 Mitch Maloney - Macomb, Michigan (SR-F)",20172018
16,Tyler Andrew,SR,F,"Bethel Park, Pennsylvania",Ferris State,bethel park pennsylvania,"Ferris State: 16 Tyler Andrew - Bethel Park, Pennsylvania (SR-F)",20172018
17,Marshall Moise,FR,F,"St. Clair Shores, Michigan",Ferris State,st clair shores michigan,"Ferris State: 17 Marshall Moise - St. Clair Shores, Michigan (FR-F)",20172018
18,Zach Szajner,SR,F,"White Lake, Michigan",Ferris State,white lake michigan,"Ferris State: 18 Zach Szajner - White Lake, Michigan (SR-F)",20172018
19,Andrew Mayer,SR,F,"Troy, Michigan",Ferris State,troy michigan,"Ferris State: 19 Andrew Mayer - Troy, Michigan (SR-F)",20172018
20,Liam MacDougall,FR,F,"Windsor, Ontario",Ferris State,windsor ontario,"Ferris State: 20 Liam MacDougall - Windsor, Ontario (FR-F)",20172018
21,Corey Mackin,JR,F,"Philadelphia, Pennsylvania",Ferris State,philadelphia pennsylvania,"Ferris State: 21 Corey Mackin - Philadelphia, Pennsylvania (JR-F)",20172018
22,Jason Tackett,SO,F,"West Chester, Ohio",Ferris State,west chester ohio,"Ferris State: 22 Jason Tackett - West Chester, Ohio (SO-F)",20172018
23,Nate Kallen,SO,D,"San Diego, California",Ferris State,san diego california,"Ferris State: 23 Nate Kallen - San Diego, California (SO-D)",20172018
24,Craig Pefley,SO,F,"St. Clair, Michigan",Ferris State,st clair michigan,"Ferris State: 24 Craig Pefley - St. Clair, Michigan (SO-F)",20172018
25,Chris Allemon,SO,D,"St. Clair Shores, Michigan",Ferris State,st clair shores michigan,"Ferris State: 25 Chris Allemon - St. Clair Shores, Michigan (SO-D)",20172018
26,Joe Rutkowski,SO,D,"Crystal Lake, Illinois",Ferris State,crystal lake illinois,"Ferris State: 26 Joe Rutkowski - Crystal Lake, Illinois (SO-D)",20172018
27,Zac Tierney,JR,D,"London, Ontario",Ferris State,london ontario,"Ferris State: 27 Zac Tierney - London, Ontario (JR-D)",20172018
28,Jacob Hetz,JR,F,"Glenshaw, Pennsylvania",Ferris State,glenshaw pennsylvania,"Ferris State: 28 Jacob Hetz - Glenshaw, Pennsylvania (JR-F)",20172018
29,Oskar Andren,JR,F,"Stockholm, Sweden",Ferris State,stockholm sweden,"Ferris State: 29 Oskar Andren - Stockholm, Sweden (JR-F)",20172018
31,Cullen Barber,FR,G,"Livonia, Michigan",Ferris State,livonia michigan,"Ferris State: 31 Cullen Barber - Livonia, Michigan (FR-G)",20172018
35,Justin Kapelmaster,SO,G,"Coral Springs, Florida",Ferris State,coral springs florida,"Ferris State: 35 Justin Kapelmaster - Coral Springs, Florida (SO-G)",20172018
1,Sihak Lee,SO,G,"Cambridge, Massachusetts",Harvard,cambridge massachusetts,"Harvard: 01 Sihak Lee - Cambridge, Massachusetts (SO-G)",20172018
2,Reilly Walsh,FR,D,"North Falmouth, Massachusetts",Harvard,north falmouth massachusetts,"Harvard: 02 Reilly Walsh - North Falmouth, Massachusetts (FR-D)",20172018
3,Ryan Begoon,SR,D,"New Canaan, Connecticut",Harvard,new canaan connecticut,"Harvard: 03 Ryan Begoon - New Canaan, Connecticut (SR-D)",20172018
5,Nick Azar,FR,D,"Grosse Pointe, Michigan",Harvard,grosse pointe michigan,"Harvard: 05 Nick Azar - Grosse Pointe, Michigan (FR-D)",20172018
6,Colton Kerfoot,SO,F,"West Vancouver, British Columbia",Harvard,west vancouver british columbia,"Harvard: 06 Colton Kerfoot - West Vancouver, British Columbia (SO-F)",20172018
7,Eddie Ellis,SR,F,"Burlington, Massachusetts",Harvard,burlington massachusetts,"Harvard: 07 Eddie Ellis - Burlington, Massachusetts (SR-F)",20172018
8,Benjamin Foley,FR,D,"Edina, Minnesota",Harvard,edina minnesota,"Harvard: 08 Benjamin Foley - Edina, Minnesota (FR-D)",20172018
9,Mitchell Perrault,FR,F,"Findlay, Ohio",Harvard,findlay ohio,"Harvard: 09 Mitchell Perrault - Findlay, Ohio (FR-F)",20172018
10,Jack Donato,FR,F,"Scituate, Massachusetts",Harvard,scituate massachusetts,"Harvard: 10 Jack Donato - Scituate, Massachusetts (FR-F)",20172018
11,Benjamin Solin,FR,F,"Madison, Connecticut",Harvard,madison connecticut,"Harvard: 11 Benjamin Solin - Madison, Connecticut (FR-F)",20172018
12,John Marino,SO,D,"North Easton, Massachusetts",Harvard,north easton massachusetts,"Harvard: 12 John Marino - North Easton, Massachusetts (SO-D)",20172018
13,Nathan Krusko,SO,F,"Alpharetta, Georgia",Harvard,alpharetta georgia,"Harvard: 13 Nathan Krusko - Alpharetta, Georgia (SO-F)",20172018
15,Seb Lloyd,SR,F,"Prince George, British Columbia",Harvard,prince george british columbia,"Harvard: 15 Seb Lloyd - Prince George, British Columbia (SR-F)",20172018
16,Ryan Donato,JR,F,"Boston, Massachusetts",Harvard,boston massachusetts,"Harvard: 16 Ryan Donato - Boston, Massachusetts (JR-F)",20172018
17,Ty Pelton-Byce,SO,F,"Madison, Wisconsin",Harvard,madison wisconsin,"Harvard: 17 Ty Pelton-Byce - Madison, Wisconsin (SO-F)",20172018
18,Adam Fox,SO,D,"Jericho, New York",Harvard,jericho new york,"Harvard: 18 Adam Fox - Jericho, New York (SO-D)",20172018
19,Jake Horton,SR,F,"Lake Elmo, Minnesota",Harvard,lake elmo minnesota,"Harvard: 19 Jake Horton - Lake Elmo, Minnesota (SR-F)",20172018
20,Adam Baughman,JR,D,"Chicago, Illinois",Harvard,chicago illinois,"Harvard: 20 Adam Baughman - Chicago, Illinois (JR-D)",20172018
21,Justin Szeto,SO,F,"Vancouver, British Columbia",Harvard,vancouver british columbia,"Harvard: 21 Justin Szeto - Vancouver, British Columbia (SO-F)",20172018
25,Wiley Sherman,SR,D,"Greenwich, Connecticut",Harvard,greenwich connecticut,"Harvard: 25 Wiley Sherman - Greenwich, Connecticut (SR-D)",20172018
26,Jacob Olson,JR,D,"Saint Paul, Minnesota",Harvard,saint paul minnesota,"Harvard: 26 Jacob Olson - Saint Paul, Minnesota (JR-D)",20172018
27,Viktor Dombrovskiy,JR,D,"Coquitlam, British Columbia",Harvard,coquitlam british columbia,"Harvard: 27 Viktor Dombrovskiy - Coquitlam, British Columbia (JR-D)",20172018
28,Henry Bowlby,FR,F,"Edina, Minnesota",Harvard,edina minnesota,"Harvard: 28 Henry Bowlby - Edina, Minnesota (FR-F)",20172018
31,Merrick Madsen,SR,G,"Acton, California",Harvard,acton california,"Harvard: 31 Merrick Madsen - Acton, California (SR-G)",20172018
32,Cameron Gornet,SO,G,"St. Louis, Missouri",Harvard,st louis missouri,"Harvard: 32 Cameron Gornet - St. Louis, Missouri (SO-G)",20172018
33,Jack Badini,FR,F,"Old Greenwich, Connecticut",Harvard,old greenwich connecticut,"Harvard: 33 Jack Badini - Old Greenwich, Connecticut (FR-F)",20172018
35,Michael Lackey,JR,G,"Washington, District of Columbia",Harvard,washington district of columbia,"Harvard: 35 Michael Lackey - Washington, District of Columbia (JR-G)",20172018
38,Thomas Aiken,SR,D,"Whitefish Bay, Wisconsin",Harvard,whitefish bay wisconsin,"Harvard: 38 Thomas Aiken - Whitefish Bay, Wisconsin (SR-D)",20172018
44,Michael Floodstrand,JR,F,"Hinsdale, Illinois",Harvard,hinsdale illinois,"Harvard: 44 Michael Floodstrand - Hinsdale, Illinois (JR-F)",20172018
71,Frederic Gregoire,SO,F,"Saint-Lambert, Quebec",Harvard,saintlambert quebec,"Harvard: 71 Frederic Gregoire - Saint-Lambert, Quebec (SO-F)",20172018
77,Lewis Zerter-Gossage,JR,F,"Montreal, QuACbec",Harvard,montreal quacbec,"Harvard: 77 Lewis Zerter-Gossage - Montreal, QuACbec (JR-F)",20172018
1,Tommy Nixon,JR,G,"Sherwood Park, Alberta",Holy Cross,sherwood park alberta,"Holy Cross: 01 Tommy Nixon - Sherwood Park, Alberta (JR-G)",20172018
2,Patrick O'Leary,SO,D,"Norfolk, Massachusetts",Holy Cross,norfolk massachusetts,"Holy Cross: 02 Patrick O'Leary - Norfolk, Massachusetts (SO-D)",20172018
3,Frank Boie,FR,D,"Needham, Massachusetts",Holy Cross,needham massachusetts,"Holy Cross: 03 Frank Boie - Needham, Massachusetts (FR-D)",20172018
4,Dalton Skelly,SO,D,"Keller, Texas",Holy Cross,keller texas,"Holy Cross: 04 Dalton Skelly - Keller, Texas (SO-D)",20172018
5,Spencer Trapp,JR,D,"White City, Saskatchewan",Holy Cross,white city saskatchewan,"Holy Cross: 05 Spencer Trapp - White City, Saskatchewan (JR-D)",20172018
7,Johnny Coughlin,JR,D,"Fairport, New York",Holy Cross,fairport new york,"Holy Cross: 07 Johnny Coughlin - Fairport, New York (JR-D)",20172018
8,Will Brophy,SO,D,"Fairfield, Connecticut",Holy Cross,fairfield connecticut,"Holy Cross: 08 Will Brophy - Fairfield, Connecticut (SO-D)",20172018
10,Kevin Darrar,SO,F,"Monroe Township, New Jersey",Holy Cross,monroe township new jersey,"Holy Cross: 10 Kevin Darrar - Monroe Township, New Jersey (SO-F)",20172018
11,Michael Laffin,JR,F,"Hopewell Junction, New York",Holy Cross,hopewell junction new york,"Holy Cross: 11 Michael Laffin - Hopewell Junction, New York (JR-F)",20172018
12,Scott Pooley,SR,F,"Granger, Indiana",Holy Cross,granger indiana,"Holy Cross: 12 Scott Pooley - Granger, Indiana (SR-F)",20172018
13,Peter Crinella,JR,F,"East Longmeadow, Massachusetts",Holy Cross,east longmeadow massachusetts,"Holy Cross: 13 Peter Crinella - East Longmeadow, Massachusetts (JR-F)",20172018
14,Andrew Dumaresque,FR,F,"Hammond Plains, Nova Scotia",Holy Cross,hammond plains nova scotia,"Holy Cross: 14 Andrew Dumaresque - Hammond Plains, Nova Scotia (FR-F)",20172018
15,Charlie Barrow,SO,D,"Belmont, Massachusetts",Holy Cross,belmont massachusetts,"Holy Cross: 15 Charlie Barrow - Belmont, Massachusetts (SO-D)",20172018
17,T.J. Moore,SR,F,"Edina, Minnesota",Holy Cross,edina minnesota,"Holy Cross: 17 T.J. Moore - Edina, Minnesota (SR-F)",20172018
18,Jay Mackie,JR,F,"Kingston, Ontario",Holy Cross,kingston ontario,"Holy Cross: 18 Jay Mackie - Kingston, Ontario (JR-F)",20172018
20,Logan Ferguson,FR,F,"Calgary, Alberta",Holy Cross,calgary alberta,"Holy Cross: 20 Logan Ferguson - Calgary, Alberta (FR-F)",20172018
21,Neil Robinson,SO,F,"Pointe-Claire, Quebec",Holy Cross,pointeclaire quebec,"Holy Cross: 21 Neil Robinson - Pointe-Claire, Quebec (SO-F)",20172018
22,Jack Surowiec,SO,F,"Louisville, Kentucky",Holy Cross,louisville kentucky,"Holy Cross: 22 Jack Surowiec - Louisville, Kentucky (SO-F)",20172018
23,Ryan Ferrill,SR,F,"Havertown, Pennsylvania",Holy Cross,havertown pennsylvania,"Holy Cross: 23 Ryan Ferrill - Havertown, Pennsylvania (SR-F)",20172018
24,Tommy Muratore,SR,D,"Mendham, New Jersey",Holy Cross,mendham new jersey,"Holy Cross: 24 Tommy Muratore - Mendham, New Jersey (SR-D)",20172018
26,Pete Kessel,FR,F,"Bloomfield Hills, Michigan",Holy Cross,bloomfield hills michigan,"Holy Cross: 26 Pete Kessel - Bloomfield Hills, Michigan (FR-F)",20172018
27,Danny Lopez,SR,F,"Barrington Hills, Illinois",Holy Cross,barrington hills illinois,"Holy Cross: 27 Danny Lopez - Barrington Hills, Illinois (SR-F)",20172018
28,Logan Milliken,FR,D,"Canmore, Alberta",Holy Cross,canmore alberta,"Holy Cross: 28 Logan Milliken - Canmore, Alberta (FR-D)",20172018
32,Jack Parsons,SR,G,"Tilton, New Hampshire",Holy Cross,tilton new hampshire,"Holy Cross: 32 Jack Parsons - Tilton, New Hampshire (SR-G)",20172018
