"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
5,"Nathan Widman","JR","D","Naperville, Illinois","St. Cloud State","naperville illinois","St. Cloud State: 05 Nathan Widman - Naperville, Illinois (JR-D)"
7,"Niklas Nevalainen","SR","D","Pori, Finland","St. Cloud State","pori finland","St. Cloud State: 07 Niklas Nevalainen - Pori, Finland (SR-D)"
8,"Nick Poehling","FR","F","Lakeville, Minnesota","St. Cloud State","lakeville minnesota","St. Cloud State: 08 Nick Poehling - Lakeville, Minnesota (FR-F)"
9,"Ryan Papa","JR","F","Prospect Heights, Illinois","St. Cloud State","prospect heights illinois","St. Cloud State: 09 Ryan Papa - Prospect Heights, Illinois (JR-F)"
10,"Jon Lizotte","SO","D","Grand Forks, North Dakota","St. Cloud State","grand forks north dakota","St. Cloud State: 10 Jon Lizotte - Grand Forks, North Dakota (SO-D)"
11,"Ryan Poehling","FR","F","Lakeville, Minnesota","St. Cloud State","lakeville minnesota","St. Cloud State: 11 Ryan Poehling - Lakeville, Minnesota (FR-F)"
12,"Jack Ahcan","FR","D","Savage, Minnesota","St. Cloud State","savage minnesota","St. Cloud State: 12 Jack Ahcan - Savage, Minnesota (FR-D)"
14,"Patrick Newell","SO","F","Thousand Oaks, California","St. Cloud State","thousand oaks california","St. Cloud State: 14 Patrick Newell - Thousand Oaks, California (SO-F)"
17,"Jacob Benson","SO","F","Grand Forks, North Dakota","St. Cloud State","grand forks north dakota","St. Cloud State: 17 Jacob Benson - Grand Forks, North Dakota (SO-F)"
18,"Judd Peterson","JR","F","Duluth, Minnesota","St. Cloud State","duluth minnesota","St. Cloud State: 18 Judd Peterson - Duluth, Minnesota (JR-F)"
19,"Mikey Eyssimont","SO","F","Littleton, Colorado","St. Cloud State","littleton colorado","St. Cloud State: 19 Mikey Eyssimont - Littleton, Colorado (SO-F)"
20,"Will Borgen","SO","D","Moorhead, Minnesota","St. Cloud State","moorhead minnesota","St. Cloud State: 20 Will Borgen - Moorhead, Minnesota (SO-D)"
21,"Jake Wahlin","FR","F","St. Paul, Minnesota","St. Cloud State","st paul minnesota","St. Cloud State: 21 Jake Wahlin - St. Paul, Minnesota (FR-F)"
22,"Jimmy Schuldt","SO","D","Minnetonka, Minnesota","St. Cloud State","minnetonka minnesota","St. Cloud State: 22 Jimmy Schuldt - Minnetonka, Minnesota (SO-D)"
23,"Robby Jackson","SO","F","Alameda, California","St. Cloud State","alameda california","St. Cloud State: 23 Robby Jackson - Alameda, California (SO-F)"
27,"Dennis Cholowski","FR","D","Langley, British Columbia","St. Cloud State","langley british columbia","St. Cloud State: 27 Dennis Cholowski - Langley, British Columbia (FR-D)"
29,"Garrett Forster","FR","D","Delta, British Columbia","St. Cloud State","delta british columbia","St. Cloud State: 29 Garrett Forster - Delta, British Columbia (FR-D)"
30,"David Zevnik","SO","G","Lakeville, Minnesota","St. Cloud State","lakeville minnesota","St. Cloud State: 30 David Zevnik - Lakeville, Minnesota (SO-G)"
33,"Zach Driscoll","FR","G","Apple Valley, Minnesota","St. Cloud State","apple valley minnesota","St. Cloud State: 33 Zach Driscoll - Apple Valley, Minnesota (FR-G)"
42,"Blake Winiecki","JR","F","Lakeville, Minnesota","St. Cloud State","lakeville minnesota","St. Cloud State: 42 Blake Winiecki - Lakeville, Minnesota (JR-F)"
55,"Mika Ilvonen","JR","D","Espoo, Finland","St. Cloud State","espoo finland","St. Cloud State: 55 Mika Ilvonen - Espoo, Finland (JR-D)"
67,"Daniel Tedesco","SR","F","Vaughan, Ontario","St. Cloud State","vaughan ontario","St. Cloud State: 67 Daniel Tedesco - Vaughan, Ontario (SR-F)"
2,"Eric Sweetman","SR","D","Woodbine, Maryland","St. Lawrence","woodbine maryland","St. Lawrence: 02 Eric Sweetman - Woodbine, Maryland (SR-D)"
3,"Ben Masella","SR","D","Montr<U+FFFD>al, Quebec","St. Lawrence","montr<U+FFFD>al quebec","St. Lawrence: 03 Ben Masella - Montr<U+FFFD>al, Quebec (SR-D)"
4,"Mike Graham","SR","D","Toronto, Ontario","St. Lawrence","toronto ontario","St. Lawrence: 04 Mike Graham - Toronto, Ontario (SR-D)"
7,"Gavin Bayreuther","SR","D","Canaan, New Hampshire","St. Lawrence","canaan new hampshire","St. Lawrence: 07 Gavin Bayreuther - Canaan, New Hampshire (SR-D)"
8,"Will Harrison","FR","F","Springfield, Virginia","St. Lawrence","springfield virginia","St. Lawrence: 08 Will Harrison - Springfield, Virginia (FR-F)"
9,"Ryan Garvey","FR","F","Oakville, Ontario","St. Lawrence","oakville ontario","St. Lawrence: 09 Ryan Garvey - Oakville, Ontario (FR-F)"
10,"Ryan Lough","JR","F","Manotick, Ontario","St. Lawrence","manotick ontario","St. Lawrence: 10 Ryan Lough - Manotick, Ontario (JR-F)"
11,"Carson Gicewicz","FR","F","Buffalo, New York","St. Lawrence","buffalo new york","St. Lawrence: 11 Carson Gicewicz - Buffalo, New York (FR-F)"
12,"Sam Kauppila","FR","F","Gurnee, Illinois","St. Lawrence","gurnee illinois","St. Lawrence: 12 Sam Kauppila - Gurnee, Illinois (FR-F)"
13,"Woody Hudson","SR","F","Greece, New York","St. Lawrence","greece new york","St. Lawrence: 13 Woody Hudson - Greece, New York (SR-F)"
14,"Alexander Dahl","SR","F","Eau Claire, Wisconsin","St. Lawrence","eau claire wisconsin","St. Lawrence: 14 Alexander Dahl - Eau Claire, Wisconsin (SR-F)"
15,"Matt Purmal","JR","D","Merrill, Wisconsin","St. Lawrence","merrill wisconsin","St. Lawrence: 15 Matt Purmal - Merrill, Wisconsin (JR-D)"
16,"Michael Ederer","SO","F","Lancaster, New York","St. Lawrence","lancaster new york","St. Lawrence: 16 Michael Ederer - Lancaster, New York (SO-F)"
17,"Drew Smolcynski","SR","F","Hatfield, Pennsylvania","St. Lawrence","hatfield pennsylvania","St. Lawrence: 17 Drew Smolcynski - Hatfield, Pennsylvania (SR-F)"
18,"Jacob Pritchard","SO","F","Macomb, Michigan","St. Lawrence","macomb michigan","St. Lawrence: 18 Jacob Pritchard - Macomb, Michigan (SO-F)"
19,"Mitch Eden","JR","D","Bracebridge, Ontario","St. Lawrence","bracebridge ontario","St. Lawrence: 19 Mitch Eden - Bracebridge, Ontario (JR-D)"
20,"Joe Sullivan","JR","F","Las Vegas, Nevada","St. Lawrence","las vegas nevada","St. Lawrence: 20 Joe Sullivan - Las Vegas, Nevada (JR-F)"
21,"Nolan Gluchowski","JR","D","Wixom, Michigan","St. Lawrence","wixom michigan","St. Lawrence: 21 Nolan Gluchowski - Wixom, Michigan (JR-D)"
22,"Ben Finkelstein","FR","D","South Burlington, Vermont","St. Lawrence","south burlington vermont","St. Lawrence: 22 Ben Finkelstein - South Burlington, Vermont (FR-D)"
23,"Patrick Steinhauser","JR","F","Plymouth, Minnesota","St. Lawrence","plymouth minnesota","St. Lawrence: 23 Patrick Steinhauser - Plymouth, Minnesota (JR-F)"
24,"Taggart Corriveau","FR","F","New Britain, Connecticut","St. Lawrence","new britain connecticut","St. Lawrence: 24 Taggart Corriveau - New Britain, Connecticut (FR-F)"
25,"Michael Laidley","SO","F","Little Current, Ontario","St. Lawrence","little current ontario","St. Lawrence: 25 Michael Laidley - Little Current, Ontario (SO-F)"
26,"Mike Marnell","JR","F","South Huntington, New York","St. Lawrence","south huntington new york","St. Lawrence: 26 Mike Marnell - South Huntington, New York (JR-F)"
27,"Kyle Hayton","JR","G","Denver, Colorado","St. Lawrence","denver colorado","St. Lawrence: 27 Kyle Hayton - Denver, Colorado (JR-G)"
28,"R.J. Gicewicz","SO","D","Orchard Park, New York","St. Lawrence","orchard park new york","St. Lawrence: 28 R.J. Gicewicz - Orchard Park, New York (SO-D)"
29,"Alex Gilmour","FR","F","Uxbridge, Ontario","St. Lawrence","uxbridge ontario","St. Lawrence: 29 Alex Gilmour - Uxbridge, Ontario (FR-F)"
30,"Daniel Mannella","FR","G","Woodbridge, Ontario","St. Lawrence","woodbridge ontario","St. Lawrence: 30 Daniel Mannella - Woodbridge, Ontario (FR-G)"
31,"Arthur Brey","SO","G","Yorba Linda, California","St. Lawrence","yorba linda california","St. Lawrence: 31 Arthur Brey - Yorba Linda, California (SO-G)"
1,"Alex Sakellaropoulos","SR","G","Tinley Park, Illinois","Union","tinley park illinois","Union: 01 Alex Sakellaropoulos - Tinley Park, Illinois (SR-G)"
2,"Jeff Taylor","SR","D","Clifton Park, New York","Union","clifton park new york","Union: 02 Jeff Taylor - Clifton Park, New York (SR-D)"
3,"Vas Kolias","FR","D","Schaumburg, Illinois","Union","schaumburg illinois","Union: 03 Vas Kolias - Schaumburg, Illinois (FR-D)"
4,"Nick DeSimone","JR","D","East Amherst, New York","Union","east amherst new york","Union: 04 Nick DeSimone - East Amherst, New York (JR-D)"
5,"Matt Krug","SR","D","South Buffalo, New York","Union","south buffalo new york","Union: 05 Matt Krug - South Buffalo, New York (SR-D)"
6,"Ben Newhouse","FR","D","Edina, Minnesota","Union","edina minnesota","Union: 06 Ben Newhouse - Edina, Minnesota (FR-D)"
7,"Michael Pontarelli","SR","F","Laval, Qu<U+FFFD>bec","Union","laval qu<U+FFFD>bec","Union: 07 Michael Pontarelli - Laval, Qu<U+FFFD>bec (SR-F)"
8,"Anthony Rinaldi","FR","F","Montreal, Quebec","Union","montreal quebec","Union: 08 Anthony Rinaldi - Montreal, Quebec (FR-F)"
9,"Ryan Scarfo","JR","F","North Chelmsford, Massachusetts","Union","north chelmsford massachusetts","Union: 09 Ryan Scarfo - North Chelmsford, Massachusetts (JR-F)"
10,"Ryan Burton","FR","F","Thunder Bay, Ontario","Union","thunder bay ontario","Union: 10 Ryan Burton - Thunder Bay, Ontario (FR-F)"
11,"Mark Dufour","SO","F","Winthrop, Maine","Union","winthrop maine","Union: 11 Mark Dufour - Winthrop, Maine (SO-F)"
12,"Eli Lichtenwald","SR","F","Saskatoon, Saskatchewan","Union","saskatoon saskatchewan","Union: 12 Eli Lichtenwald - Saskatoon, Saskatchewan (SR-F)"
13,"Zachary Emelifeonwu","FR","F","Kingston, Ontario","Union","kingston ontario","Union: 13 Zachary Emelifeonwu - Kingston, Ontario (FR-F)"
14,"J.C. Brassard","JR","D","Scituate, Massachusetts","Union","scituate massachusetts","Union: 14 J.C. Brassard - Scituate, Massachusetts (JR-D)"
15,"Spencer Foo","JR","F","Edmonton, Alberta","Union","edmonton alberta","Union: 15 Spencer Foo - Edmonton, Alberta (JR-F)"
16,"Luc Brown","FR","F","Napanee, Ontario","Union","napanee ontario","Union: 16 Luc Brown - Napanee, Ontario (FR-F)"
17,"Cole Maier","SO","F","Pequannock, New Jersey","Union","pequannock new jersey","Union: 17 Cole Maier - Pequannock, New Jersey (SO-F)"
18,"Brett Supinksi","SO","F","Collegeville, Pennsylvania","Union","collegeville pennsylvania","Union: 18 Brett Supinksi - Collegeville, Pennsylvania (SO-F)"
19,"Brendan Taylor","SO","F","Nanaimo, British Columbia","Union","nanaimo british columbia","Union: 19 Brendan Taylor - Nanaimo, British Columbia (SO-F)"
20,"Greg Campbell","SO","D","Oakville, Ontario","Union","oakville ontario","Union: 20 Greg Campbell - Oakville, Ontario (SO-D)"
21,"Mike Vecchione","SR","F","Saugus, Massachusetts","Union","saugus massachusetts","Union: 21 Mike Vecchione - Saugus, Massachusetts (SR-F)"
22,"Connor Light","JR","D","Sudbury, Massachusetts","Union","sudbury massachusetts","Union: 22 Connor Light - Sudbury, Massachusetts (JR-D)"
23,"Tyler Hynes","JR","F","Guiderland, New York","Union","guiderland new york","Union: 23 Tyler Hynes - Guiderland, New York (JR-F)"
25,"Ryan Walker","SO","F","Spotswood, New Jersey","Union","spotswood new jersey","Union: 25 Ryan Walker - Spotswood, New Jersey (SO-F)"
27,"Sebastian Vidmar","SO","F","Malmo, Sweden","Union","malmo sweden","Union: 27 Sebastian Vidmar - Malmo, Sweden (SO-F)"
31,"Jake Kupsky","SO","G","Waukesha, Wisconsin","Union","waukesha wisconsin","Union: 31 Jake Kupsky - Waukesha, Wisconsin (SO-G)"
33,"Joe Young","SO","G","Hanson, Massachusetts","Union","hanson massachusetts","Union: 33 Joe Young - Hanson, Massachusetts (SO-G)"
1,"Mike Santaguida","SR","G","Mississauga, Ontario","Vermont","mississauga ontario","Vermont: 01 Mike Santaguida - Mississauga, Ontario (SR-G)"
3,"Mike Lee","SO","D","Hamden, Connecticut","Vermont","hamden connecticut","Vermont: 03 Mike Lee - Hamden, Connecticut (SO-D)"
5,"Rob Hamilton","SR","D","Calgary, Alberta","Vermont","calgary alberta","Vermont: 05 Rob Hamilton - Calgary, Alberta (SR-D)"
7,"Tom Forgione","SR","F","South Burlington, Vermont","Vermont","south burlington vermont","Vermont: 07 Tom Forgione - South Burlington, Vermont (SR-F)"
9,"Brian Bowen","SO","F","Littleton, Massachusetts","Vermont","littleton massachusetts","Vermont: 09 Brian Bowen - Littleton, Massachusetts (SO-F)"
10,"Travis Blanleil","JR","F","Kelowna, British Columbia","Vermont","kelowna british columbia","Vermont: 10 Travis Blanleil - Kelowna, British Columbia (JR-F)"
11,"Conor O'Neil","SO","F","Hummelstown, Pennsylvania","Vermont","hummelstown pennsylvania","Vermont: 11 Conor O'Neil - Hummelstown, Pennsylvania (SO-F)"
12,"Drew Best","SO","F","Plymouth, Michigan","Vermont","plymouth michigan","Vermont: 12 Drew Best - Plymouth, Michigan (SO-F)"
13,"Liam Coughlin","SO","F","South Boston, Massachusetts","Vermont","south boston massachusetts","Vermont: 13 Liam Coughlin - South Boston, Massachusetts (SO-F)"
14,"Kevin Irwin","JR","F","Akron, Ohio","Vermont","akron ohio","Vermont: 14 Kevin Irwin - Akron, Ohio (JR-F)"
15,"Corey Moriarty","FR","D","Estero, Florida","Vermont","estero florida","Vermont: 15 Corey Moriarty - Estero, Florida (FR-D)"
16,"Derek Lodermeier","FR","F","Brooklyn Center, Minnesota","Vermont","brooklyn center minnesota","Vermont: 16 Derek Lodermeier - Brooklyn Center, Minnesota (FR-F)"
17,"Craig Puffer","SO","F","New Canaan, Connecticut","Vermont","new canaan connecticut","Vermont: 17 Craig Puffer - New Canaan, Connecticut (SO-F)"
18,"Matt O'Donnell","FR","D","Fountain Valley, California","Vermont","fountain valley california","Vermont: 18 Matt O'Donnell - Fountain Valley, California (FR-D)"
19,"Jarrid Privitera","JR","F","Old Tappan, New Jersey","Vermont","old tappan new jersey","Vermont: 19 Jarrid Privitera - Old Tappan, New Jersey (JR-F)"
20,"Brendan Bradley","SR","F","Richboro, Pennsylvania","Vermont","richboro pennsylvania","Vermont: 20 Brendan Bradley - Richboro, Pennsylvania (SR-F)"
21,"Mario Puskarich","SR","F","Fort Walton Beach, Florida","Vermont","fort walton beach florida","Vermont: 21 Mario Puskarich - Fort Walton Beach, Florida (SR-F)"
22,"Brady Shaw","SR","F","Ottawa, Ontario","Vermont","ottawa ontario","Vermont: 22 Brady Shaw - Ottawa, Ontario (SR-F)"
23,"Rob Darrar","JR","F","Monroe Township, New Jersey","Vermont","monroe township new jersey","Vermont: 23 Rob Darrar - Monroe Township, New Jersey (JR-F)"
24,"Chris Muscoby","SR","D","Airdrie, Alberta","Vermont","airdrie alberta","Vermont: 24 Chris Muscoby - Airdrie, Alberta (SR-D)"
25,"Matt Alvaro","FR","F","Toronto, Ontario","Vermont","toronto ontario","Vermont: 25 Matt Alvaro - Toronto, Ontario (FR-F)"
26,"Trey Phillips","JR","D","Okotoks, Alberta","Vermont","okotoks alberta","Vermont: 26 Trey Phillips - Okotoks, Alberta (JR-D)"
27,"Ori Abramson","SR","D","Toronto, Ontario","Vermont","toronto ontario","Vermont: 27 Ori Abramson - Toronto, Ontario (SR-D)"
28,"Anthony Petruzzelli","JR","F","Federal Way, Washington","Vermont","federal way washington","Vermont: 28 Anthony Petruzzelli - Federal Way, Washington (JR-F)"
29,"Malcolm McKinney","SR","F","West Vancouver, British Columbia","Vermont","west vancouver british columbia","Vermont: 29 Malcolm McKinney - West Vancouver, British Columbia (SR-F)"
30,"Pat Feeley","SR","G","Winthrop, Massachusetts","Vermont","winthrop massachusetts","Vermont: 30 Pat Feeley - Winthrop, Massachusetts (SR-G)"
34,"Jake Massie","FR","D","Saint-Lazare, Qu<U+FFFD>bec","Vermont","saintlazare qu<U+FFFD>bec","Vermont: 34 Jake Massie - Saint-Lazare, Qu<U+FFFD>bec (FR-D)"
36,"Cameron Klein","FR","F","Alpine, New Jersey","Vermont","alpine new jersey","Vermont: 36 Cameron Klein - Alpine, New Jersey (FR-F)"
37,"Ross Colton","FR","F","Robbinsville, New Jersey","Vermont","robbinsville new jersey","Vermont: 37 Ross Colton - Robbinsville, New Jersey (FR-F)"
40,"Stefanos Lekkas","FR","G","Elburn, Illinois","Vermont","elburn illinois","Vermont: 40 Stefanos Lekkas - Elburn, Illinois (FR-G)"
1,"Collin Olson","SR","G","Apple Valley, Minnesota","Western Michigan","apple valley minnesota","Western Michigan: 01 Collin Olson - Apple Valley, Minnesota (SR-G)"
2,"Kale Bennett","FR","D","St. Louis, Missouri","Western Michigan","st louis missouri","Western Michigan: 02 Kale Bennett - St. Louis, Missouri (FR-D)"
4,"Luke Bafia","FR","D","Parrish, Florida","Western Michigan","parrish florida","Western Michigan: 04 Luke Bafia - Parrish, Florida (FR-D)"
6,"Corey Schueneman","SO","D","Milford, Michigan","Western Michigan","milford michigan","Western Michigan: 06 Corey Schueneman - Milford, Michigan (SO-D)"
7,"Matheson Iacopelli","SO","F","Brownstown, Michigan","Western Michigan","brownstown michigan","Western Michigan: 07 Matheson Iacopelli - Brownstown, Michigan (SO-F)"
8,"Sheldon Dries","SR","F","Macomb, Michigan","Western Michigan","macomb michigan","Western Michigan: 08 Sheldon Dries - Macomb, Michigan (SR-F)"
9,"Chris Dienes","SR","D","Traverse City, Michigan","Western Michigan","traverse city michigan","Western Michigan: 09 Chris Dienes - Traverse City, Michigan (SR-D)"
10,"Lawton Courtnall","FR","F","Westlake Village, California","Western Michigan","westlake village california","Western Michigan: 10 Lawton Courtnall - Westlake Village, California (FR-F)"
11,"Dawson DiPietro","FR","F","Medina, Ohio","Western Michigan","medina ohio","Western Michigan: 11 Dawson DiPietro - Medina, Ohio (FR-F)"
12,"Aidan Muir","JR","F","Brampton, Ontario","Western Michigan","brampton ontario","Western Michigan: 12 Aidan Muir - Brampton, Ontario (JR-F)"
13,"Neal Goff","JR","D","Stillwater, Minnesota","Western Michigan","stillwater minnesota","Western Michigan: 13 Neal Goff - Stillwater, Minnesota (JR-D)"
14,"Jade McMullen","SO","F","Fort St. John, British Columbia","Western Michigan","fort st john british columbia","Western Michigan: 14 Jade McMullen - Fort St. John, British Columbia (SO-F)"
15,"Scott Moldenhauer","JR","D","Oak Ridge, North Carolina","Western Michigan","oak ridge north carolina","Western Michigan: 15 Scott Moldenhauer - Oak Ridge, North Carolina (JR-D)"
16,"Hugh McGing","FR","F","Chicago, Illinois","Western Michigan","chicago illinois","Western Michigan: 16 Hugh McGing - Chicago, Illinois (FR-F)"
17,"Griffen Molino","SO","F","Trenton, Michigan","Western Michigan","trenton michigan","Western Michigan: 17 Griffen Molino - Trenton, Michigan (SO-F)"
19,"Frederik Tiffels","JR","F","Cologne, Germany","Western Michigan","cologne germany","Western Michigan: 19 Frederik Tiffels - Cologne, Germany (JR-F)"
20,"Taylor Fleming","SR","D","Waconia, Minnesota","Western Michigan","waconia minnesota","Western Michigan: 20 Taylor Fleming - Waconia, Minnesota (SR-D)"
21,"Kyle Novak","SR","F","O'Fallon, Missouri","Western Michigan","ofallon missouri","Western Michigan: 21 Kyle Novak - O'Fallon, Missouri (SR-F)"
22,"Mike McKee","SR","F","Newmarket, Ontario","Western Michigan","newmarket ontario","Western Michigan: 22 Mike McKee - Newmarket, Ontario (SR-F)"
23,"Aaron Hadley","SR","F","Castlegar, British Columbia","Western Michigan","castlegar british columbia","Western Michigan: 23 Aaron Hadley - Castlegar, British Columbia (SR-F)"
24,"Paul Stoykewych","JR","D","Winnepeg, Manitoba","Western Michigan","winnepeg manitoba","Western Michigan: 24 Paul Stoykewych - Winnepeg, Manitoba (JR-D)"
25,"Richard Zehnal","SO","F","Pardubice, Czech Republic","Western Michigan","pardubice czech republic","Western Michigan: 25 Richard Zehnal - Pardubice, Czech Republic (SO-F)"
26,"Michael Rebry","SR","F","Clear Creek, Ontario","Western Michigan","clear creek ontario","Western Michigan: 26 Michael Rebry - Clear Creek, Ontario (SR-F)"
