"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
4,"Connor James","FR","D","Wainwright, Alberta","Alabama-Huntsville","wainwright alberta","Alabama-Huntsville: 04 Connor James - Wainwright, Alberta (FR-D)"
5,"Cody Champagne","JR","D","Brookfield, Connecticut","Alabama-Huntsville","brookfield connecticut","Alabama-Huntsville: 05 Cody Champagne - Brookfield, Connecticut (JR-D)"
6,"Sean Rappleyea","FR","D","Sayreville, New Jersey","Alabama-Huntsville","sayreville new jersey","Alabama-Huntsville: 06 Sean Rappleyea - Sayreville, New Jersey (FR-D)"
7,"Max McHugh","JR","F","Seattle, Washington","Alabama-Huntsville","seattle washington","Alabama-Huntsville: 07 Max McHugh - Seattle, Washington (JR-F)"
8,"John Teets","SO","D","Fairbanks, Alaska","Alabama-Huntsville","fairbanks alaska","Alabama-Huntsville: 08 John Teets - Fairbanks, Alaska (SO-D)"
9,"Hunter Anderson","SO","F","Savage, Minnesota","Alabama-Huntsville","savage minnesota","Alabama-Huntsville: 09 Hunter Anderson - Savage, Minnesota (SO-F)"
10,"Brent Fletcher","SR","F","New Westminster, British Columbia","Alabama-Huntsville","new westminster british columbia","Alabama-Huntsville: 10 Brent Fletcher - New Westminster, British Columbia (SR-F)"
11,"Jordan Larson","FR","F","Fort Frances, Ontario","Alabama-Huntsville","fort frances ontario","Alabama-Huntsville: 11 Jordan Larson - Fort Frances, Ontario (FR-F)"
12,"Regan Soquila","SR","F","Maple Ridge, British Columbia","Alabama-Huntsville","maple ridge british columbia","Alabama-Huntsville: 12 Regan Soquila - Maple Ridge, British Columbia (SR-F)"
14,"Madison Dunn","SO","F","Calgary, Alberta","Alabama-Huntsville","calgary alberta","Alabama-Huntsville: 14 Madison Dunn - Calgary, Alberta (SO-F)"
15,"Hans Gorowsky","SO","F","Lino Lakes, Minnesota","Alabama-Huntsville","lino lakes minnesota","Alabama-Huntsville: 15 Hans Gorowsky - Lino Lakes, Minnesota (SO-F)"
16,"Jetlan Houcher","SO","F","Paradise Valley, Alberta","Alabama-Huntsville","paradise valley alberta","Alabama-Huntsville: 16 Jetlan Houcher - Paradise Valley, Alberta (SO-F)"
18,"Austin Beaulieu","FR","F","Coral Springs, Florida","Alabama-Huntsville","coral springs florida","Alabama-Huntsville: 18 Austin Beaulieu - Coral Springs, Florida (FR-F)"
19,"Brandon Salerno","FR","F","Toronto, Ontario","Alabama-Huntsville","toronto ontario","Alabama-Huntsville: 19 Brandon Salerno - Toronto, Ontario (FR-F)"
20,"Brandon Parker","JR","D","Faribault, Minnesota","Alabama-Huntsville","faribault minnesota","Alabama-Huntsville: 20 Brandon Parker - Faribault, Minnesota (JR-D)"
21,"Tyler Poulsen","SO","F","Arvada, Colorado","Alabama-Huntsville","arvada colorado","Alabama-Huntsville: 21 Tyler Poulsen - Arvada, Colorado (SO-F)"
22,"Matt Salhany","SR","F","Warwick, Rhode Island","Alabama-Huntsville","warwick rhode island","Alabama-Huntsville: 22 Matt Salhany - Warwick, Rhode Island (SR-F)"
23,"Cody Marooney","SR","F","Eden Prairie, Minnesota","Alabama-Huntsville","eden prairie minnesota","Alabama-Huntsville: 23 Cody Marooney - Eden Prairie, Minnesota (SR-F)"
24,"Brennan Saulnier","JR","F","Halifax, Nova Scotia","Alabama-Huntsville","halifax nova scotia","Alabama-Huntsville: 24 Brennan Saulnier - Halifax, Nova Scotia (JR-F)"
25,"Adam Wilcox","SO","F","Alpharetta, Georgia","Alabama-Huntsville","alpharetta georgia","Alabama-Huntsville: 25 Adam Wilcox - Alpharetta, Georgia (SO-F)"
26,"Josh Kestner","JR","F","Huntsville, Alabama","Alabama-Huntsville","huntsville alabama","Alabama-Huntsville: 26 Josh Kestner - Huntsville, Alabama (JR-F)"
