"Rk","Player","Start.Year","End.Date","Position","GP","G","A","PTS","Plus-Minus","PIM","W","L","TO","SV","GAA","Birthplace","Birth.Date","Death.Date"
"583","Rich Nantais","1975","1977","LW","63","5","4","9","-8","79","","","","","","Repentigny","1954-10-27",""
"584","Alain Nasreddine","1999","2008","D","74","1","4","5","9","84","","","","","","Montreal","1975-07-10",""
"585","Simon Nolet","1968","1977","RW","562","150","182","332","-23","187","","","","","","St-Odilon","1941-11-23",""
"586","Maxim Noreau","2010","2011","D","6","0","0","0","-1","0","","","","","","Montreal","1987-05-24",""
"587","Buddy O'Connor*","1942","1951","C","509","140","257","397","","34","","","","","","Montreal","1916-06-21","1977-08-24"
"588","George O'Grady","1918","1918","D","4","0","0","0","","0","","","","","","Montreal","1891-06-08",""
"589","Mike O'Neill","1992","1997","G","21","0","0","0","0","0","0","9","2",".859","4.28","LaSalle","1967-11-03",""
"590","Gino Odjick","1991","2002","RW","605","64","73","137","-21","2567","","","","","","Maniwaki","1970-09-07",""
"591","Gates Orlando","1985","1987","C","98","18","26","44","-10","51","","","","","","Montreal","1962-11-13",""
"592","Jimmy Orlando","1937","1943","D","199","6","25","31","","375","","","","","","Montreal","1916-02-27",""
"593","Maxime Ouellet","2001","2006","G","12","0","1","1","0","2","2","6","2",".903","3.08","Beauport","1981-06-17",""
"594","Michel Ouellet","2006","2009","RW","190","52","64","116","-4","58","","","","","","Rimouski","1982-03-05",""
"595","Ted Ouimet","1969","1969","G","1","0","0","0","0","0","0","1","0","","2.00","Noranda","1947-07-06",""
"596","Paul Pageau","1981","1981","G","1","0","0","0","0","0","0","1","0","","8.00","Montreal","1959-10-01",""
"597","Marcel Paille","1958","1965","G","107","0","1","1","","2","32","52","22","","3.42","Shawinigan Falls","1932-12-08","2002-10-07"
"598","Cedric Paquette","2014","2017","C","180","22","19","41","-3","182","","","","","","Gaspe","1993-08-13",""
"599","Bernie Parent*","1966","1979","G","608","0","12","12","0","112","271","198","121","","2.55","Montreal","1945-04-03",""
"600","Rich Parent","1998","2001","G","32","0","0","0","0","4","7","11","5",".882","3.15","Montreal","1973-01-12",""
"601","P.A. Parenteau","2007","2017","LW","487","114","181","295","-44","342","","","","","","Hull","1983-03-24",""
"602","Michel Parizeau","1972","1972","C","58","3","14","17","-7","18","","","","","","Montreal","1948-04-09",""
"603","Lester Patrick*","1927","1927","D","1","0","0","0","","2","","","","","","Drummondville","1883-12-30","1960-06-01"
"604","Rollie Paulhus","1926","1926","D","33","0","0","0","","0","","","","","","Montreal","1902-09-01",""
"605","Marcel Pelletier","1951","1963","G","8","0","0","0","","2","1","6","0","","4.86","Drummondville","1927-12-06",""
"606","Roger Pelletier","1968","1968","D","1","0","0","0","0","0","","","","","","Montreal","1945-06-22",""
"607","Steve Penney","1984","1988","G","91","0","1","1","0","17","35","38","12",".859","3.62","Ste-Foy","1961-02-02",""
"608","Joel Perrault","2006","2011","C","96","12","14","26","-18","68","","","","","","Montreal","1983-04-06",""
"609","Bob Perreault","1956","1963","G","31","0","0","0","","0","8","16","7","","3.38","Trois-Rivieres","1931-01-28","1980"
"610","Fern Perreault","1948","1950","LW","3","0","0","0","","0","","","","","","Chambly","1927-03-31",""
