"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"Lake Superior",21,4,4,11,0,2,10,3,2,0,1,0,0.793103448275862,0.808510638297872,0.50456840440883,0.517415723095452,0.513818473863198,0.587491514971866
"Air Force",25,7,4,12,4,1,13,3,3,0,0,0,0.75,0.752747252747253,0.482634990985883,0.505757802592199,0.49928341534243,0.562649374693636
"Ohio State",22,8,4,9,5,3,13,3,1,0,0,0,0.705882352941177,0.698863636363636,0.495707434366708,0.521859906389376,0.514537214223029,0.560618819758181
"Minnesota",20,7,7,12,3,4,8,4,2,0,0,1,0.691176470588235,0.681818181818182,0.5235273937532,0.51697282179294,0.518808101941813,0.559560621910905
"Penn State",16,10,8,11,4,2,5,6,6,0,0,0,0.588235294117647,0.592592592592592,0.520091359921109,0.517056804211718,0.517906479810348,0.536578008005909
"Cornell",15,7,5,7,4,2,7,3,3,1,0,0,0.648148148148148,0.647058823529412,0.491412460593556,0.501417685652528,0.498616222636016,0.535726872859365
"North Dakota",19,10,3,11,6,2,8,4,1,0,0,0,0.640625,0.622641509433962,0.474846327676516,0.503918467786773,0.495778268555901,0.527494078775417
"Bowling Green",14,10,2,7,6,1,7,4,1,0,0,0,0.576923076923077,0.568181818181818,0.528413808413808,0.506348247512612,0.512526604564947,0.526440407969165
"Robert Morris",15,10,8,4,8,4,10,2,4,1,0,0,0.575757575757576,0.570621468926554,0.53174238243213,0.501175426313259,0.509734174026543,0.524955997751546
"Minnesota State",10,7,7,6,3,2,4,4,5,0,0,0,0.5625,0.572649572649573,0.483522315629595,0.516730094640886,0.507431916517725,0.523736330550687
"Canisius",17,13,4,10,3,3,7,10,1,0,0,0,0.558823529411765,0.56875,0.507700357633595,0.50132347193068,0.503108999927497,0.519519249945622
"Harvard",12,9,6,5,4,2,7,5,3,0,0,1,0.555555555555556,0.569852941176471,0.516398604420871,0.497343920951961,0.502679232323256,0.51947265953656
"Quinnipiac",17,12,5,11,1,4,6,11,1,0,0,0,0.573529411764706,0.587096774193548,0.490657964549614,0.49631919654441,0.494734051585867,0.517824732237787
"Notre Dame",14,12,6,9,5,4,5,7,2,0,0,0,0.53125,0.519480519480519,0.518722579264054,0.516009328891205,0.516769038995603,0.517446909116832
"Bentley",14,10,9,6,3,6,8,7,3,0,0,0,0.560606060606061,0.570552147239264,0.489914664564789,0.503310298326772,0.499559520873417,0.517307677464878
"Clarkson",13,10,9,8,3,4,4,7,5,1,0,0,0.546875,0.552631578947368,0.526768650521061,0.496467997521518,0.50495218036139,0.516872030007885
"Union",17,12,6,6,6,3,9,6,3,2,0,0,0.571428571428571,0.578651685393258,0.486396563408502,0.499086239462384,0.495533130167297,0.516312768973787
"Boston College",14,8,7,6,5,3,8,3,2,0,0,2,0.603448275862069,0.597315436241611,0.47679364520816,0.492756270693135,0.488286735557342,0.515543910728409
"Western Michigan",16,10,4,10,5,2,6,5,2,0,0,0,0.6,0.589041095890411,0.446768920292037,0.506745822659566,0.489952289996658,0.514724491470096
